chr	strand	start	end	gene_id	gene_symbol	omega
6	+	108848416	108974472	ENSG00000118690.12	ARMC2	1.12467
20	-	37251082	37261835	ENSG00000118702.9	GHRH	0
20	+	37178410	37241623	ENSG00000118705.16	RPN2	284.875
20	+	36573488	36593950	ENSG00000118707.9	TGIF2	11.9854
1	-	115700007	115768781	ENSG00000118729.11	CASQ2	0
1	-	101802574	101997030	ENSG00000118733.16	OLFM3	0
4	+	88007668	88077777	ENSG00000118762.7	PKD2	68.8547
4	-	88090264	88231322	ENSG00000118777.10	ABCG2	0.0283421
4	+	87975650	87983426	ENSG00000118785.13	SPP1	0.0447092
4	+	76306026	76311599	ENSG00000118804.8	STBD1	4.54152
4	-	77047158	77076005	ENSG00000118816.9	CCNI	148.266
3	-	158696892	158732696	ENSG00000118849.9	RARRES1	0.128238
3	+	158732198	158829719	ENSG00000118855.18	MFSD1	31.6485
1	-	220148293	220272454	ENSG00000118873.15	RAB3GAP2	30.6203
16	-	5084304	5097808	ENSG00000118894.14	EEF2KMT	4.28484
16	-	4882507	4960741	ENSG00000118898.15	PPL	8.83122
16	+	4846665	4882360	ENSG00000118900.14	UBN1	50.7226
13	-	73686089	73995056	ENSG00000118922.17	KLF12	13.7167
13	+	75549480	75606020	ENSG00000118939.17	UCHL3	6.92883
13	+	57631810	57729311	ENSG00000118946.11	PCDH17	0.0670638
2	-	20560448	20651089	ENSG00000118960.12	HS1BP3	21.9482
2	-	20684014	20823130	ENSG00000118961.14	LDAH	15.1793
2	-	19910260	19990131	ENSG00000118965.14	WDR35	6.72617
12	+	4273772	4305350	ENSG00000118971.7	CCND2	2.8421
12	-	4368227	4379728	ENSG00000118972.1	FGF23	7.59985
5	-	95885098	95962071	ENSG00000118985.15	ELL2	85.8053
2	-	195737703	196068812	ENSG00000118997.13	DNAH7	0.192797
2	+	203238940	203305611	ENSG00000119004.15	CYP20A1	6.2386
2	+	201071433	201085750	ENSG00000119013.8	NDUFB3	22.8245
2	-	196763032	196799725	ENSG00000119041.10	GTF3C3	20.8264
2	-	199269500	199471266	ENSG00000119042.16	SATB2	11.8557
5	+	134371179	134391992	ENSG00000119048.7	UBE2B	21.9868
9	-	74722495	74888094	ENSG00000119121.21	TRPM6	0.0392627
9	+	72114595	72257193	ENSG00000119125.16	GDA	0.00944738
9	-	70384597	70414624	ENSG00000119138.4	KLF9	27.513
9	+	69121264	69255208	ENSG00000119139.17	TJP2	3.10975
2	+	106063246	106078159	ENSG00000119147.9	C2orf40	0
2	-	9403475	9423547	ENSG00000119185.12	ITGB1BP1	36.8859
2	+	9423568	9473101	ENSG00000119203.13	CPSF3	26.7571
3	-	196946343	196969060	ENSG00000119227.7	PIGZ	3.93813
3	+	196867856	196934714	ENSG00000119231.10	SENP5	23.1797
12	-	123918660	123972831	ENSG00000119242.8	CCDC92	38.296
1	-	230837119	230869589	ENSG00000119280.16	C1orf198	71.1676
1	+	231162112	231221556	ENSG00000119283.15	TRIM67	0
1	-	236549005	236604504	ENSG00000119285.10	HEATR1	20.8683
9	-	112217716	112333667	ENSG00000119314.15	PTBP3	27.7406
9	+	107283137	107332194	ENSG00000119318.12	RAD23B	204.869
9	-	113161006	113221361	ENSG00000119321.8	FKBP15	41.9294
9	-	108942569	109013529	ENSG00000119326.14	CTNNAL1	22.6645
9	+	108934181	108950744	ENSG00000119328.11	FAM206A	9.73772
9	-	128633661	128656787	ENSG00000119333.11	WDR34	13.1323
9	+	128683424	128696400	ENSG00000119335.16	SET	204.947
9	+	129110950	129148946	ENSG00000119383.19	PTPA	84.5183
9	+	128504700	128542288	ENSG00000119392.14	GLE1	16.417
9	-	121178137	121223014	ENSG00000119396.10	RAB14	61.5203
9	+	121074863	121177610	ENSG00000119397.16	CNTRL	3.57639
9	+	116687302	116701300	ENSG00000119401.10	TRIM32	25.2661
9	-	120751978	120793412	ENSG00000119402.16	FBXW2	36.083
9	-	120855652	120894896	ENSG00000119403.13	PHF19	12.0364
9	+	124257606	124353307	ENSG00000119408.16	NEK6	100.556
9	+	113349541	113371233	ENSG00000119411.10	BSPRY	0
9	-	125146573	125189939	ENSG00000119414.11	PPP6C	28.5354
9	-	122144058	122159819	ENSG00000119421.6	NDUFA8	27.7939
9	-	113373419	113376999	ENSG00000119431.9	HDHD3	2.44156
9	-	122237624	122264839	ENSG00000119446.13	RBM18	15.8341
9	-	112878920	112890913	ENSG00000119457.7	SLC46A2	0
9	+	112379937	112472410	ENSG00000119471.14	HSDL2	22.8867
9	-	125437393	125707234	ENSG00000119487.16	MAPKAP1	90.4385
9	+	99821855	99866891	ENSG00000119508.17	NR4A3	0.769218
9	+	100099256	100301000	ENSG00000119509.12	INVS	4.20009
9	+	98807699	98850081	ENSG00000119514.6	GALNT12	0.771185
9	-	123379654	123930152	ENSG00000119522.16	DENND1A	17.8657
9	-	99216426	99221956	ENSG00000119523.9	ALG2	30.0031
1	-	36466043	36483278	ENSG00000119535.17	CSF3R	0
18	-	63327726	63367510	ENSG00000119537.15	KDSR	43.7207
18	-	63389190	63422483	ENSG00000119541.9	VPS4B	29.6261
18	+	57435685	57491297	ENSG00000119547.5	ONECUT2	0.00981537
19	-	1461143	1479556	ENSG00000119559.15	C19orf25	8.87653
19	-	58513530	58538911	ENSG00000119574.12	ZBTB45	9.85394
14	+	74763366	74859435	ENSG00000119596.17	YLPM1	68.375
14	+	72926332	72959703	ENSG00000119599.16	DCAF4	6.49128
14	-	74852871	74871940	ENSG00000119608.12	PROX2	0.085204
14	+	74239472	74262738	ENSG00000119614.2	VSX2	0
14	+	74713144	74738620	ENSG00000119616.11	FCF1	33.2212
14	-	74941834	74955784	ENSG00000119630.13	PGF	1.65589
14	-	94127779	94130253	ENSG00000119632.3	IFI27L2	21.1482
14	+	74019353	74082863	ENSG00000119636.15	BBOF1	2.17186
14	-	75079353	75127344	ENSG00000119638.12	NEK9	22.2843
14	-	75053221	75069483	ENSG00000119640.8	ACYP1	4.08947
14	+	75902136	76084585	ENSG00000119650.12	IFT43	10.6848
14	-	74476192	74494177	ENSG00000119655.9	NPC2	41.2129
14	+	73644875	73703732	ENSG00000119661.14	DNAL1	7.9506
14	-	77024543	77028699	ENSG00000119669.4	IRF2BPL	46.3214
14	+	73567620	73575658	ENSG00000119673.14	ACOT2	11.8975
14	-	74498170	74612378	ENSG00000119681.11	LTBP2	595.1
14	-	74653437	74713115	ENSG00000119682.16	AREL1	17.5988
14	-	75013764	75051532	ENSG00000119684.15	MLH3	9.12075
14	+	75633625	75955078	ENSG00000119685.19	TTLL5	6.56092
14	+	75578617	75663214	ENSG00000119686.9	FLVCR2	0.0549415
14	-	74285423	74303056	ENSG00000119688.20	ABCD4	3.00533
14	+	74881891	74903745	ENSG00000119689.14	DLST	123.191
14	+	94146128	94279735	ENSG00000119698.11	PPP4R4	0.145305
14	-	75958099	75982991	ENSG00000119699.7	TGFB3	3.31276
14	+	75064170	75079987	ENSG00000119703.13	ZC2HC1C	0.459768
14	+	77708071	77761104	ENSG00000119705.9	SLIRP	15.3116
14	+	73058436	73123898	ENSG00000119707.13	RBM25	47.8946
14	-	74056850	74084493	ENSG00000119711.12	ALDH6A1	10.22
14	-	91232532	91253925	ENSG00000119714.10	GPR68	4.4034
14	+	76310614	76501841	ENSG00000119715.14	ESRRB	0
14	+	75002911	75012366	ENSG00000119718.10	EIF2B2	5.38525
14	-	90267856	90332137	ENSG00000119720.17	NRDE2	4.10304
14	+	73949926	73963670	ENSG00000119723.16	COQ6	4.40633
14	+	73886617	73932511	ENSG00000119725.17	ZNF410	25.0014
2	+	46541806	46583121	ENSG00000119729.11	RHOQ	57.4088
2	-	53852913	53859989	ENSG00000119737.5	GPR75	0.225754
2	-	27650812	27663840	ENSG00000119760.15	SUPT7L	36.4695
2	+	23385217	23708611	ENSG00000119771.14	KLHL29	2.44521
2	-	25227855	25342590	ENSG00000119772.16	DNMT3A	11.4303
2	+	27032910	27041695	ENSG00000119777.18	TMEM214	68.6399
2	-	23748664	23927114	ENSG00000119778.14	ATAD2B	4.43787
2	+	24049701	24063681	ENSG00000119782.13	FKBP1B	0.804471
2	-	38294880	38377285	ENSG00000119787.13	ATL2	8.18269
2	+	30146941	30160533	ENSG00000119801.12	YPEL5	50.5196
2	-	33583658	33599382	ENSG00000119812.18	FAM98A	51.9109
2	+	32277910	32316594	ENSG00000119820.10	YIPF4	24.3263
2	+	64524305	64593005	ENSG00000119844.15	AFTPH	17.8452
2	+	64453969	64461381	ENSG00000119862.12	LGALSL	0.783503
2	-	68284171	68320051	ENSG00000119865.8	CNRIP1	15.3228
2	-	60451167	60553567	ENSG00000119866.20	BCL11A	1.65844
2	+	46616416	46625742	ENSG00000119878.5	CRIPT	9.74799
2	+	47345158	47387601	ENSG00000119888.10	EPCAM	0
6	-	73593379	73654155	ENSG00000119899.12	SLC17A5	21.3883
6	+	71288803	71308950	ENSG00000119900.7	OGFRL1	6.63508
10	+	100912569	100965136	ENSG00000119906.11	SLF2	18.4204
10	-	92451684	92574076	ENSG00000119912.15	IDE	19.3321
10	+	112283735	112305035	ENSG00000119913.4	TECTB	0
10	+	102226328	102229589	ENSG00000119915.4	ELOVL3	0.113513
10	+	89327894	89340971	ENSG00000119917.13	IFIT3	9.21186
10	+	99532933	99536524	ENSG00000119919.10	NKX2-3	0
10	+	89283694	89309276	ENSG00000119922.9	IFIT2	5.9812
10	-	112149864	112215377	ENSG00000119927.13	GPAM	11.8867
10	+	99702558	99756134	ENSG00000119929.12	CUTC	6.69534
10	-	91628442	91633054	ENSG00000119938.8	PPP1R3C	59.3622
10	-	98383565	98415184	ENSG00000119943.11	PYROXD2	2.98002
10	+	99329099	99394330	ENSG00000119946.10	CNNM1	0.809379
10	+	110207605	110287365	ENSG00000119950.20	MXI1	30.5532
10	-	110290730	110304951	ENSG00000119953.12	SMNDC1	10.5111
10	-	122930903	122954403	ENSG00000119965.12	C10orf88	5.02538
10	+	94501434	94613905	ENSG00000119969.14	HELLS	1.96587
10	-	118589989	118595699	ENSG00000119973.5	PRLHR	0
10	-	95663396	95694143	ENSG00000119977.20	TCTN3	24.2754
10	+	119104086	119137984	ENSG00000119979.16	FAM45A	4.68877
10	-	97677424	97687323	ENSG00000119986.6	AVPI1	4.34027
10	+	120851175	120909524	ENSG00000120008.15	WDR11	37.1601
10	-	101845599	102056193	ENSG00000120029.12	C10orf76	22.6872
10	-	101825974	101843920	ENSG00000120049.18	KCNIP2	0.174998
10	+	104353764	104455090	ENSG00000120051.14	CFAP58	0.00981537
10	-	99396870	99430624	ENSG00000120053.10	GOT1	29.1948
10	-	100042193	100081877	ENSG00000120054.11	CPN1	0
10	-	102449837	102451543	ENSG00000120055.7	C10orf95	0.024259
10	-	97766751	97771952	ENSG00000120057.4	SFRP5	0
17	-	65010715	65056839	ENSG00000120063.9	GNA13	27.3729
17	-	48611377	48614939	ENSG00000120068.6	HOXB8	1.69407
17	-	46029916	46225374	ENSG00000120071.12	KANSL1	31.6646
17	-	48591257	48593961	ENSG00000120075.5	HOXB5	2.27983
17	+	45784280	45835828	ENSG00000120088.14	CRHR1	0
17	-	48548870	48604912	ENSG00000120093.11	HOXB3	25.4224
17	-	48528526	48530997	ENSG00000120094.6	HOXB1	0
5	-	172768090	172771195	ENSG00000120129.5	DUSP1	22.8007
5	-	168548495	168579600	ENSG00000120137.6	PANK3	34.8424
5	+	174724533	174730893	ENSG00000120149.8	MSX2	0.575068
9	+	27109141	27230175	ENSG00000120156.20	TEK	0.653118
9	+	4792869	4885917	ENSG00000120158.11	RCL1	6.53176
9	-	26840685	26892804	ENSG00000120159.11	CAAP1	8.31455
9	-	27284659	27297139	ENSG00000120160.10	EQTN	0
9	-	27325209	27529781	ENSG00000120162.9	MOB3B	0.288145
9	-	5131979	5185668	ENSG00000120210.6	INSL6	0
9	+	5231419	5235304	ENSG00000120211.4	INSL4	0.0188948
9	+	5890802	5910606	ENSG00000120215.9	MLANA	0.0313787
9	+	5450503	5470566	ENSG00000120217.13	CD274	2.07238
9	-	21349835	21351378	ENSG00000120235.4	IFNA6	0
9	+	21409147	21410185	ENSG00000120242.3	IFNA8	0
4	+	157204182	157366075	ENSG00000120251.18	GRIA2	0
6	-	149724315	149749665	ENSG00000120253.13	NUP43	12.9619
6	+	150865549	151101887	ENSG00000120254.15	MTHFD1L	77.7598
6	-	149818798	149864026	ENSG00000120256.9	LRP11	26.7379
6	+	151494030	151621193	ENSG00000120262.9	CCDC170	1.80773
6	+	149749443	149811420	ENSG00000120265.16	PCMT1	35.1419
6	+	150599883	150843665	ENSG00000120278.15	PLEKHG1	1.05541
6	+	152697895	152724567	ENSG00000120279.6	MYCT1	0
X	-	30558824	30577844	ENSG00000120280.5	CXorf21	0
X	+	30242052	30244193	ENSG00000120289.11	MAGEB4	0
5	+	140174642	140282052	ENSG00000120306.9	CYSTM1	16.662
5	+	140664676	140674124	ENSG00000120314.18	WDR55	8.0846
5	-	141653401	141682221	ENSG00000120318.15	ARAP3	2.22174
5	+	141177790	141180529	ENSG00000120322.3	PCDHB8	0.729985
5	+	141192353	141195642	ENSG00000120324.8	PCDHB10	2.79384
5	+	141222932	141227759	ENSG00000120327.6	PCDHB14	4.76932
5	+	141208697	141212571	ENSG00000120328.6	PCDHB12	1.20124
5	-	141302629	141304045	ENSG00000120329.6	SLC25A2	0
1	+	175067858	175148066	ENSG00000120332.15	TNN	0
1	-	175010789	175023425	ENSG00000120333.4	MRPS14	14.5549
1	-	173799550	173824720	ENSG00000120334.15	CENPL	0.799242
1	-	173039960	173050963	ENSG00000120337.8	TNFSF18	0.206123
1	-	177923956	177984303	ENSG00000120341.18	SEC16B	0.210543
1	+	170532129	170553446	ENSG00000120370.12	GORAB	3.99803
6	-	167156271	167158329	ENSG00000120436.3	GPR31	0
6	+	159760328	159779055	ENSG00000120437.8	ACAT2	7.54907
6	-	159778498	159789749	ENSG00000120438.11	TCP1	102.686
6	+	167325086	167359503	ENSG00000120440.13	TTLL2	0
11	-	130875436	130916509	ENSG00000120451.10	SNX19	85.8634
11	+	128891356	128921035	ENSG00000120457.11	KCNJ5	0.00998547
11	-	124766498	124800673	ENSG00000120458.10	MSANTD2	7.61203
11	-	128934731	128943399	ENSG00000120471.14	TP53AIP1	0
X	-	70528940	70908731	ENSG00000120498.13	TEX11	0
X	+	70268305	70281840	ENSG00000120500.17	ARR3	0.226737
X	-	70286595	70290514	ENSG00000120509.10	PDZD11	30.4644
4	-	146253975	146521964	ENSG00000120519.14	SLC10A7	2.43968
8	-	109240919	109334385	ENSG00000120526.10	NUDCD1	6.58442
8	+	109334324	109345953	ENSG00000120533.12	ENY2	24.0118
10	+	27154824	27186924	ENSG00000120539.14	MASTL	7.44587
10	+	23694746	24547848	ENSG00000120549.17	KIAA1217	12.1994
10	+	29289061	29318328	ENSG00000120563.8	LYZL1	0
10	+	19816239	20289856	ENSG00000120594.16	PLXDC2	3.12784
10	-	32267751	32378798	ENSG00000120616.15	EPC1	13.4747
12	+	66765	178460	ENSG00000120645.11	IQSEC3	0
12	+	389273	442645	ENSG00000120647.9	CCDC77	4.63447
1	-	28589323	28643085	ENSG00000120656.11	TAF12	21.1485
13	-	43213518	43786908	ENSG00000120658.13	ENOX1	0
13	+	42562736	42608013	ENSG00000120659.14	TNFSF11	0
13	-	41216369	41263577	ENSG00000120662.15	MTRF1	2.49906
13	-	36168208	36214615	ENSG00000120669.15	SOHLH2	0.0548077
13	+	43023203	43114224	ENSG00000120675.5	DNAJC15	16.9237
13	-	39009866	39038076	ENSG00000120685.19	PROSER1	18.8253
13	+	38349849	38363619	ENSG00000120686.11	UFM1	45.8608
13	+	41061274	41084006	ENSG00000120688.8	WBP4	20.0314
13	-	40931920	41061440	ENSG00000120690.14	ELF1	12.4424
13	-	36844831	36920765	ENSG00000120693.13	SMAD9	2.24449
13	-	31134974	31162388	ENSG00000120694.19	HSPH1	22.4468
13	-	41189833	41194566	ENSG00000120696.8	KBTBD7	5.17237
13	-	36949775	37000261	ENSG00000120697.8	ALG5	19.9477
13	+	36998816	37009613	ENSG00000120699.12	EXOSC8	9.40714
5	-	138506095	138543300	ENSG00000120705.12	ETF1	94.1263
5	+	138331935	138349729	ENSG00000120709.10	FAM53C	43.0115
5	-	138946720	139293557	ENSG00000120725.12	SIL1	39.1321
5	+	139341587	139369720	ENSG00000120727.12	PAIP2	36.1484
5	+	137867791	137887851	ENSG00000120729.9	MYOT	0
5	+	138352596	138437028	ENSG00000120733.13	KDM3B	51.1322
5	+	138465490	138469315	ENSG00000120738.7	EGR1	39.8202
3	-	150541994	150603228	ENSG00000120742.10	SERP1	60.2794
3	+	142596387	142713664	ENSG00000120756.12	PLS1	0.362041
19	-	37613749	37692337	ENSG00000120784.15	ZFP30	2.99001
12	-	95020229	95073703	ENSG00000120798.16	NR2C1	8.43843
12	+	101280109	101386616	ENSG00000120800.4	UTP20	16.304
12	+	98515512	98550379	ENSG00000120802.13	TMPO	41.759
12	-	101393120	101407820	ENSG00000120805.13	ARL1	77.4496
12	-	103988984	104064183	ENSG00000120820.12	GLT8D2	44.5384
12	-	106977291	106987166	ENSG00000120832.9	MTERF2	5.31729
12	+	93569814	93583487	ENSG00000120833.13	SOCS2	0.43458
12	-	104117077	104138289	ENSG00000120837.7	NFYB	17.6709
12	-	102012927	102062149	ENSG00000120860.10	CCDC53	16.5968
12	+	98645141	98735433	ENSG00000120868.13	APAF1	8.36815
8	-	29333064	29350668	ENSG00000120875.8	DUSP4	3.14419
8	-	27596917	27615031	ENSG00000120885.20	CLU	72.0747
8	-	23020133	23069179	ENSG00000120889.12	TNFRSF10B	120.418
8	+	22544986	22575788	ENSG00000120896.13	SORBS3	69.2912
8	+	27311482	27459391	ENSG00000120899.17	PTK2B	3.37524
8	-	27459761	27479883	ENSG00000120903.12	CHRNA2	0
8	-	26748150	26867273	ENSG00000120907.17	ADRA1A	0
8	+	22440819	22541142	ENSG00000120910.14	PPP3CC	12.262
8	+	22578279	22598025	ENSG00000120913.23	PDLIM2	75.8629
8	+	27490779	27545564	ENSG00000120915.13	EPHX2	0.640218
8	-	42849637	42897290	ENSG00000120925.14	RNF170	16.7082
1	-	11857464	11858931	ENSG00000120937.8	NPPB	0
1	+	11273206	11296049	ENSG00000120942.13	UBIAD1	13.1179
1	+	11012344	11026420	ENSG00000120948.15	TARDBP	28.0366
1	+	12063377	12144207	ENSG00000120949.14	TNFRSF8	0
1	+	12857086	12861909	ENSG00000120952.4	PRAMEF2	0
8	-	101177878	101206193	ENSG00000120963.11	ZNF706	22.7691
8	-	54046367	54102017	ENSG00000120992.17	LYPLA1	9.90303
8	+	74984515	75034558	ENSG00000121005.8	CRISPLD1	0.0326743
8	-	67043079	67083783	ENSG00000121022.13	COPS5	32.6343
8	+	73294612	73325281	ENSG00000121039.9	RDH10	15.5413
17	+	58192737	58205174	ENSG00000121053.5	EPX	0.0472369
17	+	57085092	57121349	ENSG00000121057.12	AKAP1	15.6417
17	-	56938187	56961054	ENSG00000121058.4	COIL	13.0756
17	-	56887909	56914038	ENSG00000121060.15	TRIM25	49.2501
17	+	56978105	57006768	ENSG00000121064.12	SCPEP1	57.7937
17	-	49598884	49678234	ENSG00000121067.17	SPOP	39.8687
17	+	61399896	61409466	ENSG00000121068.13	TBX2	1.02018
17	-	49700943	49709014	ENSG00000121073.13	SLC35B1	8.82973
17	+	61452404	61485110	ENSG00000121075.9	TBX4	0.0111257
17	-	58556678	58692055	ENSG00000121101.15	TEX14	0.046387
17	-	49710332	49789180	ENSG00000121104.7	FAM117A	2.33014
2	+	96335787	96373845	ENSG00000121152.9	NCAPH	2.40082
4	+	154626945	154753118	ENSG00000121207.11	LRAT	0.0270085
4	+	153466346	153636711	ENSG00000121210.15	KIAA0922	5.07678
4	+	153344649	153415118	ENSG00000121211.7	MND1	0.650502
11	+	5596109	5612958	ENSG00000121236.20	TRIM6	2.29797
16	-	48166910	48247568	ENSG00000121270.15	ABCC11	0
16	+	50152918	50235310	ENSG00000121274.12	PAPD5	1.73179
16	+	50246137	50318135	ENSG00000121281.12	ADCY7	30.5029
19	-	32875925	32971991	ENSG00000121289.17	CEP89	16.2596
19	-	31274945	31349547	ENSG00000121297.6	TSHZ3	14.5234
1	-	52895910	52927212	ENSG00000121310.16	ECHDC2	0.728389
12	-	10806051	10807293	ENSG00000121314.2	TAS2R8	0
12	-	14503661	14568349	ENSG00000121316.10	PLBD1	0.594645
12	-	10825317	10826358	ENSG00000121318.2	TAS2R10	0.0188948
12	-	11391540	11501041	ENSG00000121335.11	PRB2	0
12	+	21437615	21471252	ENSG00000121350.15	PYROXD1	3.84323
12	+	21354959	21379978	ENSG00000121351.7	IAPP	0
12	-	21764955	21775581	ENSG00000121361.3	KCNJ8	0.371767
12	-	10801532	10802627	ENSG00000121377.2	TAS2R7	0
12	+	12049844	12211084	ENSG00000121380.12	BCL2L14	0
12	-	10809137	10810168	ENSG00000121381.3	TAS2R9	0
13	-	19674752	19783019	ENSG00000121390.18	PSPC1	15.7926
19	+	57527325	57557542	ENSG00000121406.8	ZNF549	5.60334
19	-	58345178	58353499	ENSG00000121410.11	A1BG	0
19	-	58083838	58118427	ENSG00000121413.12	ZSCAN18	11.9064
19	+	57630395	57642779	ENSG00000121417.13	ZNF211	5.53871
3	-	73382433	73624940	ENSG00000121440.14	PDZRN3	52.1132
1	+	182409192	182560599	ENSG00000121446.18	RGSL1	0
1	+	180230286	180278982	ENSG00000121454.5	LHX4	0.788536
1	+	185045364	185102608	ENSG00000121481.10	RNF2	15.0143
1	-	185118098	185157072	ENSG00000121486.11	TRMT1L	12.221
3	+	123201927	123274130	ENSG00000121542.11	SEC22A	7.99773
3	+	122325244	122341972	ENSG00000121552.3	CSTA	0.235981
3	-	109326141	109337572	ENSG00000121570.12	DPPA4	0
3	-	119636457	119665324	ENSG00000121577.13	POPDC2	0.100177
3	-	119211732	119241103	ENSG00000121578.12	B4GALT4	25.2808
3	-	113716460	113746300	ENSG00000121579.12	NAA50	57.0843
3	-	119524293	119559602	ENSG00000121594.11	CD80	0
11	-	28020620	28108308	ENSG00000121621.6	KIF18A	1.39112
1	+	147907956	147909257	ENSG00000121634.5	GJA8	0
1	+	244652935	244709033	ENSG00000121644.18	DESI2	38.0795
11	+	45885651	45906465	ENSG00000121653.11	MAPK8IP1	4.22948
11	+	45847118	45883248	ENSG00000121671.11	CRY2	15.681
11	-	45909669	45918812	ENSG00000121680.15	PEX16	5.96542
11	+	33015864	33033582	ENSG00000121690.10	DEPDC7	3.24611
11	+	34438925	34472062	ENSG00000121691.4	CAT	46.3584
7	+	100352176	100367733	ENSG00000121716.19	PILRB	4.84434
13	+	19958670	20091829	ENSG00000121741.16	ZMYM2	10.1753
13	-	20221971	20232395	ENSG00000121742.16	GJB6	0
13	-	20138255	20161049	ENSG00000121743.3	GJA3	0.103921
12	+	71839707	71927248	ENSG00000121749.15	TBC1D15	16.4856
1	-	31727117	31764893	ENSG00000121753.12	ADGRB2	1.95035
1	+	31617686	31632518	ENSG00000121764.11	HCRTR1	0
1	+	31296982	31364953	ENSG00000121766.15	ZCCHC17	27.3184
1	-	31365625	31376850	ENSG00000121769.7	FABP3	0.499906
1	+	32013829	32060850	ENSG00000121774.17	KHDRBS1	95.4734
1	+	32072031	32102866	ENSG00000121775.17	TMEM39B	2.2214
3	+	46407163	46412997	ENSG00000121797.9	CCRL2	0
3	+	46353734	46360928	ENSG00000121807.5	CCR2	0
1	+	145964702	145978848	ENSG00000121851.12	POLR3GL	19.1454
3	-	172445133	172448456	ENSG00000121853.3	GHSR	0
3	-	172505508	172523507	ENSG00000121858.10	TNFSF10	0.0965035
3	+	179322991	179338583	ENSG00000121864.9	ZNF639	9.9472
3	-	165186720	165197109	ENSG00000121871.3	SLITRK3	0.0141711
3	+	179148114	179240093	ENSG00000121879.3	PIK3CA	11.8304
4	-	39822863	39977956	ENSG00000121892.14	PDS5A	50.5207
4	-	38966744	39032922	ENSG00000121895.7	TMEM156	0.020673
4	+	39459000	39477653	ENSG00000121897.13	LIAS	4.0818
10	-	123706207	123940267	ENSG00000121898.12	CPXM2	95.6511
1	-	32894594	32901438	ENSG00000121900.18	TMEM54	8.29519
1	+	33472645	33496507	ENSG00000121903.14	ZSCAN20	3.05947
1	-	33513999	34165842	ENSG00000121904.17	CSMD2	4.40456
1	+	32885994	32898441	ENSG00000121905.9	HPCA	0.0221366
1	-	110947185	110964079	ENSG00000121931.15	LRIF1	7.9298
1	-	111483348	111563962	ENSG00000121933.18	TMIGD3	0
1	-	108929508	108963457	ENSG00000121940.15	CLCC1	26.7595
1	+	108875350	108934545	ENSG00000121957.12	GPSM2	7.19331
2	-	143938068	144332568	ENSG00000121964.14	GTDC1	2.81128
2	-	136114349	136118165	ENSG00000121966.6	CXCR4	0
2	-	135136916	135531236	ENSG00000121988.17	ZRANB3	2.97798
2	+	147844517	147930826	ENSG00000121989.14	ACVR2A	8.15654
5	+	75511756	75601144	ENSG00000122008.15	POLK	8.54892
5	+	76083172	76353939	ENSG00000122012.13	SV2C	0
13	-	28003274	28100592	ENSG00000122025.14	FLT3	0
13	+	27251309	27256691	ENSG00000122026.10	RPL21	617.173
13	-	27435643	27450591	ENSG00000122033.14	MTIF3	13.7773
13	+	27424544	27435823	ENSG00000122034.13	GTF3A	44.6581
13	+	27270327	27273690	ENSG00000122035.6	RASL11A	0.579544
13	-	29764371	29850684	ENSG00000122042.9	UBL3	62.9389
3	+	197737179	197787596	ENSG00000122068.12	FYTTD1	48.2888
2	-	241072169	241102332	ENSG00000122085.16	MTERF4	12.4852
X	+	129738974	129769538	ENSG00000122121.10	XPNPEP2	0.435772
X	+	129779979	129795201	ENSG00000122122.9	SASH3	0
X	+	129539849	129592561	ENSG00000122126.15	OCRL	27.1863
9	+	135561756	135566955	ENSG00000122133.16	PAEP	0
9	+	135546139	135549969	ENSG00000122136.13	OBP2A	0
9	+	135499984	135504673	ENSG00000122140.10	MRPS2	24.8978
X	+	80014756	80031769	ENSG00000122145.14	TBX22	0
1	-	203340628	203351489	ENSG00000122176.10	FMOD	47.2294
1	-	203083132	203086036	ENSG00000122180.4	MYOG	0.00326743
1	+	203765176	203776233	ENSG00000122188.12	LAX1	0
6	+	160702238	160753315	ENSG00000122194.18	PLG	0
5	-	176346061	176361968	ENSG00000122203.14	KIAA1191	102.704
1	-	160289273	160343400	ENSG00000122218.14	COPA	170.363
1	-	160830160	160862855	ENSG00000122223.12	CD244	0
1	+	160796074	160828261	ENSG00000122224.17	LY9	0
16	+	22814177	22916338	ENSG00000122254.6	HS3ST2	0
16	+	24537693	24572863	ENSG00000122257.18	RBBP6	35.5892
16	-	11750586	11797267	ENSG00000122299.11	ZC3H7A	45.4862
16	-	11275639	11276480	ENSG00000122304.10	PRM2	0
6	-	158109515	158168270	ENSG00000122335.13	SERAC1	19.6533
10	-	80150889	80205572	ENSG00000122359.17	ANXA11	154.443
10	+	86668449	86736068	ENSG00000122367.19	LDB3	0.325038
10	+	86654557	86666848	ENSG00000122375.11	OPN4	0
10	+	87094161	87191468	ENSG00000122376.11	FAM35A	6.6771
10	+	80407829	80437115	ENSG00000122378.13	FAM213A	0.974247
16	+	3112560	3120517	ENSG00000122386.10	ZNF205	6.26257
16	+	3443611	3486963	ENSG00000122390.17	NAA60	33.3446
1	+	92832025	92841924	ENSG00000122406.12	RPL5	694.538
1	-	86346824	86396342	ENSG00000122417.15	ODF2L	8.20909
1	+	78303884	78539749	ENSG00000122420.9	PTGFR	12.3015
1	+	100133150	100150497	ENSG00000122435.9	TRMT13	3.43646
1	-	100148449	100178273	ENSG00000122477.12	LRRC39	0.103295
1	+	95234155	95247225	ENSG00000122481.16	RWDD3	1.97064
1	-	90915298	91022272	ENSG00000122482.20	ZNF644	10.7256
