chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
4	+	ENSG00000126545.13	CSN1S1	0	1
4	+	ENSG00000126549.9	STATH	0	1
4	+	ENSG00000126550.8	HTN1	0	1
17	+	ENSG00000126561.16	STAT5A	47.001172	0.34854076
17	+	ENSG00000126562.16	WNK4	0	1
17	-	ENSG00000126581.12	BECN1	38.256662	0.74127316
19	+	ENSG00000126583.10	PRKCG	0	1
16	-	ENSG00000126602.10	TRAP1	126.63098	0.73490008
16	+	ENSG00000126603.8	GLIS2	0.60468758	0.72769104
17	+	ENSG00000126653.16	NSRP1	29.917458	0.88606708
1	-	ENSG00000126698.10	DNAJC8	48.145994	0.91625694
1	-	ENSG00000126705.13	AHDC1	7.6186058	0.63147124
1	-	ENSG00000126709.14	IFI6	29.69685	0.73657686
X	+	ENSG00000126733.20	DACH2	0	1
12	-	ENSG00000126746.17	ZNF384	40.763332	0.89081246
12	+	ENSG00000126749.14	EMG1	27.518656	0.86955708
X	+	ENSG00000126752.7	SSX1	0	1
X	-	ENSG00000126756.11	UXT	62.650898	0.90660274
X	-	ENSG00000126759.12	CFP	0.45427412	0.61145338
X	-	ENSG00000126767.17	ELK1	53.577148	0.8004339
X	-	ENSG00000126768.12	TIMM17B	19.410366	0.77947238
14	+	ENSG00000126773.12	PCNX4	30.043236	0.77603518
14	-	ENSG00000126775.8	ATG14	6.701732	0.53031944
14	+	ENSG00000126777.17	KTN1	111.30486	0.55420686
14	-	ENSG00000126778.8	SIX1	0	1
14	+	ENSG00000126785.12	RHOJ	0.100699062	1
14	-	ENSG00000126787.12	DLGAP5	35.673242	0.72628084
14	-	ENSG00000126790.11	L3HYPDH	4.7131654	0.77902604
14	+	ENSG00000126803.9	HSPA2	1.52322	1
14	+	ENSG00000126804.13	ZBTB1	56.297546	0.37622798
14	-	ENSG00000126814.6	TRMT5	14.516456	0.57720984
14	-	ENSG00000126821.7	SGPP1	25.716842	0.86952748
14	+	ENSG00000126822.16	PLEKHG3	0.57405298	0.83360454
12	-	ENSG00000126838.9	PZP	0	1
16	-	ENSG00000126856.13	PRDM7	0	1
17	+	ENSG00000126858.16	RHOT1	14.625888	0.6837373
17	-	ENSG00000126860.11	EVI2A	16.621644	0.9901853
17	-	ENSG00000126861.4	OMG	0	1
7	+	ENSG00000126870.15	WDR60	2.7573838	0.10828472
9	+	ENSG00000126878.12	AIF1L	0.17488618	1
9	-	ENSG00000126882.12	FAM78A	38.292238	0.89576414
9	+	ENSG00000126883.16	NUP214	43.975184	0.57944022
X	-	ENSG00000126890.13	CTAG2	0	1
X	+	ENSG00000126895.13	AVPR2	0	1
X	-	ENSG00000126903.15	SLC10A3	10.7857952	1
19	-	ENSG00000126934.13	MAP2K2	85.07772	0.85850986
X	+	ENSG00000126945.8	HNRNPH2	60.261968	0.7226975
X	+	ENSG00000126947.12	ARMCX1	0.16977742	0.84032
X	+	ENSG00000126950.7	TMEM35A	0	1
X	-	ENSG00000126952.16	NXF5	0	1
X	-	ENSG00000126953.5	TIMM8A	10.2189718	0.919814
X	-	ENSG00000126970.15	ZC4H2	5.7743608	0.95210166
5	+	ENSG00000127022.14	CANX	461.07772	0.87896184
1	-	ENSG00000127054.19	CPSF3L	37.854766	0.67710512
1	+	ENSG00000127074.14	RGS13	0	0.53631386
9	-	ENSG00000127080.9	IPPK	8.4424234	0.46985516
9	-	ENSG00000127081.13	ZNF484	3.384142	0.6273458
9	-	ENSG00000127083.7	OMD	0	1
9	+	ENSG00000127084.17	FGD3	15.595542	0.65853244
1	-	ENSG00000127124.14	HIVEP3	7.7212036	0.62504558
1	+	ENSG00000127125.8	PPCS	27.433382	1
1	-	ENSG00000127129.9	EDN2	0	1
14	-	ENSG00000127152.17	BCL11B	0.03137872	1
5	+	ENSG00000127184.11	COX7C	201.69318	0.8845835
9	+	ENSG00000127191.17	TRAF2	30.212494	0.8851619
19	-	ENSG00000127220.5	ABHD8	3.9819476	0.60648228
3	-	ENSG00000127241.16	MASP1	0	1
3	-	ENSG00000127249.14	ATP13A4	0.11166604	0.87793226
3	+	ENSG00000127252.5	HRASLS	0	1
12	+	ENSG00000127311.9	HELB	14.032684	0.41578482
12	+	ENSG00000127314.17	RAP1B	124.12674	0.9716504
12	-	ENSG00000127318.10	IL22	0	1
12	-	ENSG00000127324.8	TSPAN8	0	1
12	-	ENSG00000127325.18	BEST3	0.16794658	1
12	+	ENSG00000127328.21	RAB3IP	14.318876	0.81491192
12	-	ENSG00000127329.15	PTPRB	0.15786674	1
12	+	ENSG00000127334.10	DYRK2	19.425088	1
12	+	ENSG00000127337.6	YEATS4	23.227958	0.85926222
7	+	ENSG00000127362.2	TAS2R3	0	1
7	+	ENSG00000127364.3	TAS2R4	0.43146098	1
7	+	ENSG00000127366.5	TAS2R5	0.37921518	1
7	-	ENSG00000127377.8	CRYGN	0	1
7	+	ENSG00000127399.14	LRRC61	12.528212	0.83722592
7	-	ENSG00000127412.6	TRPV5	0	1
4	+	ENSG00000127415.12	IDUA	0.95859032	0.23014212
4	+	ENSG00000127418.14	FGFRL1	2.3779308	0.62774116
4	+	ENSG00000127419.16	TMEM175	4.3968048	0.76335174
1	-	ENSG00000127423.10	AUNIP	3.5113186	0.94991098
19	+	ENSG00000127445.13	PIN1	19.231002	0.86316408
19	-	ENSG00000127452.8	FBXL12	19.685914	0.85054128
1	-	ENSG00000127463.13	EMC1	24.713962	0.4193001
1	+	ENSG00000127472.10	PLA2G5	0	1
1	-	ENSG00000127481.14	UBR4	105.07968	0.27017714
1	-	ENSG00000127483.17	HP1BP3	152.22038	0.66650304
19	-	ENSG00000127507.17	ADGRE2	2.365426	0.1782925
19	+	ENSG00000127511.9	SIN3B	31.209768	0.52613188
19	-	ENSG00000127515.1	OR7A10	0	1
19	-	ENSG00000127526.14	SLC35E1	36.519776	0.8893704
19	-	ENSG00000127527.13	EPS15L1	31.988338	0.73397058
19	+	ENSG00000127528.5	KLF2	1.7687532	0.79232878
19	+	ENSG00000127529.7	OR7C2	0	1
19	-	ENSG00000127530.2	OR7C1	0	1
19	+	ENSG00000127533.3	F2RL3	0.9857336	0.93552714
19	-	ENSG00000127540.11	UQCR11	28.353884	1
16	+	ENSG00000127554.12	GFER	11.660472	1
16	+	ENSG00000127561.14	SYNGR3	2.790568	0.67714236
16	-	ENSG00000127564.16	PKMYT1	4.5745878	0.64900724
16	+	ENSG00000127578.6	WFIKKN1	0	1
16	-	ENSG00000127580.15	WDR24	7.3837378	0.27644818
16	-	ENSG00000127585.11	FBXL16	0	0
16	+	ENSG00000127586.16	CHTF18	3.3097924	0.37008796
16	-	ENSG00000127588.4	GNG13	0	1
1	+	ENSG00000127603.23	MACF1	86.09227	0.44991064
19	+	ENSG00000127616.17	SMARCA4	31.432456	0.70039566
19	+	ENSG00000127663.14	KDM4B	54.976868	0.63550136
19	-	ENSG00000127666.9	TICAM1	26.299466	0.95522382
12	+	ENSG00000127720.7	METTL25	1.7258996	0.81293092
5	-	ENSG00000127743.5	IL17B	0	1
17	+	ENSG00000127774.6	EMC6	7.9429402	0.8489686
17	-	ENSG00000127780.3	OR1E2	0	1
17	-	ENSG00000127804.12	METTL16	11.83294	0.83408804
2	-	ENSG00000127824.13	TUBA4A	65.88833	0.98549682
2	+	ENSG00000127831.10	VIL1	0.050023416	1
2	-	ENSG00000127837.9	AAMP	56.892366	0.89179222
2	+	ENSG00000127838.13	PNKD	14.77551	0.76567758
13	+	ENSG00000127863.15	TNFRSF19	0.64923608	0.69268224
13	-	ENSG00000127870.16	RNF6	47.205504	0.73062186
10	-	ENSG00000127884.4	ECHS1	57.915474	0.7790486
19	-	ENSG00000127903.13	ZNF835	0.23443438	1
7	+	ENSG00000127914.16	AKAP9	12.8397152	0.39689244
7	+	ENSG00000127920.5	GNG11	0.36711348	0.99152176
7	-	ENSG00000127922.9	SHFM1	60.963058	0.99274898
7	+	ENSG00000127928.12	GNGT1	0	1
7	-	ENSG00000127946.16	HIP1	4.619853	0.67992162
7	+	ENSG00000127947.15	PTPN12	37.738486	0.81008508
7	+	ENSG00000127948.14	POR	17.848388	0.60989312
7	-	ENSG00000127951.6	FGL2	1.799772	0.68042638
7	-	ENSG00000127952.16	STYXL1	13.632566	0.67905194
7	-	ENSG00000127954.12	STEAP4	0.65832186	1
7	+	ENSG00000127955.15	GNAI1	0.136612028	0.99066038
7	-	ENSG00000127980.15	PEX1	1.8782772	0.10592742
7	-	ENSG00000127989.13	MTERF1	13.74398	0.76123228
7	-	ENSG00000127990.15	SGCE	1.8145324	0.83030612
7	+	ENSG00000127993.15	RBM48	11.833084	0.77424702
7	+	ENSG00000127995.16	CASD1	5.5985032	0.25012126
19	-	ENSG00000128000.15	ZNF780B	14.934454	0.9978769
19	-	ENSG00000128011.4	LRFN1	1.2204852	0.9650501
19	+	ENSG00000128016.5	ZFP36	70.936998	0.98670478
4	+	ENSG00000128039.10	SRD5A3	2.960176	0.93288622
4	-	ENSG00000128040.10	SPINK2	0	0.9914657
4	+	ENSG00000128045.6	RASL11B	0	1
4	+	ENSG00000128050.8	PAICS	251.16814	0.9281231
4	-	ENSG00000128052.8	KDR	0.068186878	1
4	-	ENSG00000128059.8	PPAT	38.608198	0.73613968
22	-	ENSG00000128159.11	TUBGCP6	2.666629	0.101450742
22	+	ENSG00000128165.8	ADM2	1.943731	0.910314
22	-	ENSG00000128185.9	DGCR6L	8.1579368	0.79148828
22	+	ENSG00000128191.14	DGCR8	8.9741812	0.7475585
22	+	ENSG00000128203.6	ASPHD2	7.4488332	0.59558716
22	-	ENSG00000128218.7	VPREB3	0.92881652	0.94664376
22	+	ENSG00000128228.4	SDF2L1	5.1067978	0.94272688
22	-	ENSG00000128242.12	GAL3ST1	0.057142686	1
22	+	ENSG00000128245.14	YWHAH	68.97748	0.89946682
22	+	ENSG00000128250.5	RFPL1	0	1
22	-	ENSG00000128253.13	RFPL2	0	1
22	+	ENSG00000128266.8	GNAZ	0.02668809	1
22	+	ENSG00000128268.11	MGAT3	1.2351618	0.014135418
22	+	ENSG00000128271.21	ADORA2A	28.96563	0.93924652
22	+	ENSG00000128272.14	ATF4	284.76216	0.79356
22	-	ENSG00000128274.15	A4GALT	1.835293	0.93051426
22	+	ENSG00000128276.10	RFPL3	0	1
22	+	ENSG00000128283.6	CDC42EP1	0.23110994	1
22	-	ENSG00000128284.19	APOL3	11.848192	0.69666918
22	+	ENSG00000128285.4	MCHR1	0	1
22	-	ENSG00000128294.15	TPST2	18.79604	0.8000879
22	-	ENSG00000128298.16	BAIAP2L2	0.42206024	0.80363476
22	+	ENSG00000128309.16	MPST	7.4235978	0.90472892
22	+	ENSG00000128310.2	GALR3	0	1
22	-	ENSG00000128311.13	TST	2.1515238	0.95379366
22	+	ENSG00000128313.2	APOL5	0	1
22	-	ENSG00000128322.6	IGLL1	0	1
22	-	ENSG00000128335.13	APOL2	25.013998	0.47346762
22	-	ENSG00000128340.14	RAC2	462.5457	0.94027694
22	-	ENSG00000128342.4	LIF	0.78142398	0.291792188
22	-	ENSG00000128346.10	C22orf23	0.2126663	1
22	+	ENSG00000128383.12	APOBEC3A	0.12784188	0.96906578
22	+	ENSG00000128394.16	APOBEC3F	12.673504	0.55192524
22	+	ENSG00000128408.8	RIBC2	0	0.8392067
17	-	ENSG00000128422.15	KRT17	0.36712602	0.68956684
15	+	ENSG00000128463.12	EMC4	34.961896	0.91688622
17	+	ENSG00000128482.15	RNF112	0.0500101	1
17	+	ENSG00000128487.16	SPECC1	16.063482	0.93195176
7	+	ENSG00000128510.10	CPA4	0.26418752	0.90171114
7	-	ENSG00000128512.19	DOCK4	0.21272986	0.62947968
7	-	ENSG00000128513.14	POT1	23.838876	0.88133442
7	-	ENSG00000128519.3	TAS2R16	0	1
7	+	ENSG00000128524.4	ATP6V1F	54.827932	0.97038322
7	+	ENSG00000128534.7	LSM8	47.462164	0.97443126
7	+	ENSG00000128536.15	CDHR3	0	1
7	+	ENSG00000128563.13	PRKRIP1	9.6828862	0.24318598
7	-	ENSG00000128564.6	VGF	0.045694196	1
7	-	ENSG00000128567.16	PODXL	0.063550324	0.97446962
7	+	ENSG00000128573.23	FOXP2	0.06178111	1
7	+	ENSG00000128578.9	STRIP2	2.7418364	0.41032938
7	-	ENSG00000128581.15	IFT22	4.0668764	0.99017598
7	+	ENSG00000128585.17	MKLN1	19.463382	0.79588794
7	+	ENSG00000128590.4	DNAJB9	15.72191	1
7	+	ENSG00000128591.15	FLNC	1.1568478	0.6113068
7	-	ENSG00000128594.7	LRRC4	0.049529242	1
7	+	ENSG00000128595.16	CALU	64.39841	0.88947644
7	+	ENSG00000128596.16	CCDC136	0.3513283	0.8803404
7	+	ENSG00000128602.9	SMO	2.3100938	0.37911258
7	+	ENSG00000128604.18	IRF5	70.878628	0.69918364
7	+	ENSG00000128606.12	LRRC17	0.052691152	1
7	+	ENSG00000128607.13	KLHDC10	35.696462	0.84569692
7	-	ENSG00000128609.14	NDUFA5	39.548764	0.95289506
7	-	ENSG00000128610.11	FEZF1	0	1
7	-	ENSG00000128617.2	OPN1SW	0.3859736	1
19	+	ENSG00000128626.11	MRPS12	27.37699	0.98375256
2	+	ENSG00000128641.18	MYO1B	0.693618	0.62438618
2	+	ENSG00000128645.13	HOXD1	0	1
2	+	ENSG00000128652.11	HOXD3	0	1
2	+	ENSG00000128654.13	MTX2	25.46139	0.71383398
2	-	ENSG00000128655.16	PDE11A	0.34259544	1
2	-	ENSG00000128656.13	CHN1	0.05422037	1
2	+	ENSG00000128683.13	GAD1	0.21915652	0.74696906
2	-	ENSG00000128694.11	OSGEPL1	3.7983384	0.35999464
2	-	ENSG00000128699.13	ORMDL1	32.89233	0.51429008
2	+	ENSG00000128708.12	HAT1	35.378114	0.84534608
2	+	ENSG00000128709.12	HOXD9	0	1
2	+	ENSG00000128710.5	HOXD10	0	1
2	+	ENSG00000128713.12	HOXD11	0	1
2	+	ENSG00000128714.5	HOXD13	0	1
15	-	ENSG00000128731.15	HERC2	2.9540858	0.02851464
15	+	ENSG00000128739.21	SNRPN	46.575594	0.80296128
18	+	ENSG00000128789.20	PSMG2	48.927716	0.94114854
18	+	ENSG00000128791.11	TWSG1	26.880588	0.90528778
10	-	ENSG00000128805.14	ARHGAP22	0.063011404	0.92880438
10	+	ENSG00000128815.18	WDFY4	36.247868	0.47526394
15	+	ENSG00000128829.11	EIF2AK4	32.302272	0.54978564
15	-	ENSG00000128833.12	MYO5C	0	0
15	+	ENSG00000128849.10	CGNL1	0.25047432	1
15	+	ENSG00000128872.9	TMOD2	2.4313078	0.892903
15	-	ENSG00000128881.16	TTBK2	0.61930688	0.01641765
15	-	ENSG00000128886.11	ELL3	0.043497948	0.10713832
15	-	ENSG00000128891.15	C15orf57	39.04905	0.98385252
15	-	ENSG00000128908.15	INO80	21.393032	0.48200528
15	-	ENSG00000128915.11	ICE2	3.2451808	0.22552434
15	+	ENSG00000128917.6	DLL4	0.10511338	0.60239986
15	-	ENSG00000128918.14	ALDH1A2	0.014605604799373	1
15	+	ENSG00000128923.10	FAM63B	16.808058	0.75187826
15	+	ENSG00000128928.8	IVD	29.33876	0.54694356
15	+	ENSG00000128944.13	KNSTRN	17.486874	0.74823716
15	+	ENSG00000128951.13	DUT	63.152124	0.73038974
15	+	ENSG00000128965.11	CHAC1	2.1662462	0.86793298
15	-	ENSG00000128973.12	CLN6	23.767896	0.88339204
15	-	ENSG00000128989.10	ARPP19	179.25612	1
15	-	ENSG00000129003.15	VPS13C	22.563656	0.23523678
15	-	ENSG00000129007.14	CALML4	0.94526368	0.49073186
15	+	ENSG00000129009.12	ISLR	0.13256152	1
15	-	ENSG00000129028.8	THAP10	0.30505754	0.80717918
15	+	ENSG00000129038.15	LOXL1	0	1
3	+	ENSG00000129048.6	ACKR4	0	0
3	-	ENSG00000129055.12	ANAPC13	27.632656	1
3	-	ENSG00000129071.9	MBD4	41.498504	0.72198722
11	-	ENSG00000129083.12	COPB1	166.85934	0.80247046
11	-	ENSG00000129084.17	PSMA1	123.11282	0.8971715
7	+	ENSG00000129103.17	SUMF2	48.577574	0.91730598
4	+	ENSG00000129116.17	PALLD	0.26896732	0.91963826
4	+	ENSG00000129128.12	SPCS3	116.14532	0.96420066
11	+	ENSG00000129151.8	BBOX1	0	1
11	+	ENSG00000129152.3	MYOD1	0	1
11	-	ENSG00000129158.10	SERGEF	9.0560662	0.75696522
11	+	ENSG00000129159.6	KCNC1	0.034372012	1
11	-	ENSG00000129167.9	TPH1	0.57909082	0.99911124
11	-	ENSG00000129170.8	CSRP3	0.038606204	0.97522186
11	-	ENSG00000129173.12	E2F8	3.321448	0.16278474
4	-	ENSG00000129187.14	DCTD	87.86387	0.92062832
17	-	ENSG00000129194.7	SOX15	0.33109478	1
17	+	ENSG00000129195.15	FAM64A	4.6272862	0.87456022
17	+	ENSG00000129197.14	RPAIN	15.672636	0.98913394
17	+	ENSG00000129204.16	USP6	1.4037974	0.61487054
17	+	ENSG00000129214.14	SHBG	0	1
17	+	ENSG00000129219.13	PLD2	2.366999	0.15824356
17	-	ENSG00000129221.15	AIPL1	0.016579068	1
17	+	ENSG00000129226.13	CD68	0.71178954	0.357613
17	+	ENSG00000129235.10	TXNDC17	7.2111048	0.82271616
17	+	ENSG00000129244.8	ATP1B2	0.31045832	0.78526636
17	-	ENSG00000129245.11	FXR2	13.279086	0.34041118
17	+	ENSG00000129250.11	KIF1C	32.327098	0.4131315
17	+	ENSG00000129255.15	MPDU1	6.6616162	0.68293774
8	+	ENSG00000129292.20	PHF20L1	12.0895004	0.58647472
8	-	ENSG00000129295.8	LRRC6	0	1
12	-	ENSG00000129315.9	CCNT1	55.96447	0.7486332
12	-	ENSG00000129317.14	PUS7L	20.691334	0.37966692
19	-	ENSG00000129347.19	KRI1	11.0346438	0.62873766
19	+	ENSG00000129351.17	ILF3	155.52966	0.61640712
19	+	ENSG00000129353.14	SLC44A2	49.43975	0.53638116
19	-	ENSG00000129354.11	AP1M2	0	1
19	-	ENSG00000129355.6	CDKN2D	4.983669	0.89021374
8	-	ENSG00000129422.14	MTUS1	0.26881174	0.99900176
19	-	ENSG00000129437.9	KLK14	0.12367524	0.99238842
19	+	ENSG00000129450.8	SIGLEC9	0	1
19	-	ENSG00000129451.11	KLK10	0	1
19	-	ENSG00000129455.15	KLK8	0	1
14	+	ENSG00000129460.15	NGDN	23.659866	0.90810574
14	-	ENSG00000129465.15	RIPK3	0.46620074	0.079252954
14	-	ENSG00000129467.13	ADCY4	0	0.99824832
14	-	ENSG00000129472.12	RAB2B	18.754062	0.60623238
14	+	ENSG00000129473.9	BCL2L2	18.77494	0.45328144
14	-	ENSG00000129474.15	AJUBA	1.1568898	0.6522054
14	-	ENSG00000129480.12	DTD2	0	0
14	+	ENSG00000129484.13	PARP2	26.040488	0.65676348
14	-	ENSG00000129493.14	HEATR5A	3.339217	0.298534928
14	-	ENSG00000129514.5	FOXA1	0	1
14	-	ENSG00000129515.18	SNX6	68.933292	0.87326998
14	-	ENSG00000129518.8	EAPP	24.865384	0.88925432
14	-	ENSG00000129521.13	EGLN3	0.55148076	0.9484472
14	-	ENSG00000129534.13	MIS18BP1	33.632852	0.49412182
14	-	ENSG00000129535.12	NRL	0.55657658	0.3067193
14	-	ENSG00000129538.13	RNASE1	0.31445524	0.95721976
14	-	ENSG00000129559.12	NEDD8	67.79427	0.92595222
14	-	ENSG00000129562.10	DAD1	79.539412	0.98421778
14	-	ENSG00000129566.12	TEP1	3.3598082	0.060862956
5	-	ENSG00000129595.12	EPB41L4A	0.26524788	0.72360576
5	-	ENSG00000129596.4	CDO1	0	1
5	-	ENSG00000129625.12	REEP5	41.449502	0.97971516
16	-	ENSG00000129636.12	ITFG1	22.463218	0.91160866
17	-	ENSG00000129646.14	QRICH2	0.29479008	0.79370046
17	-	ENSG00000129654.7	FOXJ1	0	1
17	+	ENSG00000129657.14	SEC14L1	87.941418	0.80707034
17	-	ENSG00000129667.12	RHBDF2	11.4942	0.30251884
17	+	ENSG00000129673.9	AANAT	0.33244654	1
X	-	ENSG00000129675.15	ARHGEF6	16.791088	0.30533822
X	-	ENSG00000129680.15	MAP7D3	17.350602	0.64211536
X	-	ENSG00000129682.14	FGF13	2.8519632	1
8	+	ENSG00000129691.15	ASH2L	26.581712	0.68151256
8	-	ENSG00000129696.12	TTI2	2.867025	0.19635474
11	+	ENSG00000129744.2	ART1	0	1
11	-	ENSG00000129749.3	CHRNA10	0.19759624	1
11	-	ENSG00000129757.12	CDKN1C	0.17173468	0.8842709
3	-	ENSG00000129810.14	SGO1	8.9740634	0.62833902
16	+	ENSG00000129910.7	CDH15	0.031664994	1
19	-	ENSG00000129911.8	KLF16	14.837478	1
16	-	ENSG00000129925.10	TMEM8A	14.27482	0.49742398
19	-	ENSG00000129932.7	DOHH	9.7493786	0.89832866
19	+	ENSG00000129933.20	MAU2	17.732038	0.3501255
19	-	ENSG00000129946.10	SHC2	0	1
19	-	ENSG00000129951.18	PLPPR3	0.022533288	1
11	-	ENSG00000129965.13	INS-IGF2	0	1
19	-	ENSG00000129968.15	ABHD17A	11.2875408	0.79279246
20	+	ENSG00000129988.5	LBP	0	1
19	-	ENSG00000129990.14	SYT5	0.28964656	0.99607164
19	-	ENSG00000129991.12	TNNI3	0	0.98561192
16	-	ENSG00000129993.14	CBFA2T3	10.3015434	0.76158636
19	-	ENSG00000130005.11	GAMT	4.2566774	0.85347026
X	-	ENSG00000130021.13	PUDP	20.553636	0.9872985
6	+	ENSG00000130023.15	ERMARD	13.300696	0.56062042
6	-	ENSG00000130024.14	PHF10	31.03624	0.48189146
X	+	ENSG00000130032.15	PRRG3	0.5629796	1
12	+	ENSG00000130035.6	GALNT8	0.2343801	1
12	+	ENSG00000130037.4	KCNA5	0	1
12	-	ENSG00000130038.9	CRACR2A	0.55723592	0.070664918
9	+	ENSG00000130045.15	NXNL2	0.65934196	1
X	+	ENSG00000130052.13	STARD8	0.23803468	0.82999268
X	+	ENSG00000130054.4	FAM155B	0	1
X	+	ENSG00000130055.13	GDPD2	0	1
X	+	ENSG00000130066.16	SAT1	36.272884	0.9378974
X	+	ENSG00000130119.15	GNL3L	5.6904468	0.5211982
2	+	ENSG00000130147.15	SH3BP4	0.047607126	1
X	+	ENSG00000130150.11	MOSPD2	10.0911902	0.51933666
19	-	ENSG00000130158.13	DOCK6	4.5002384	0.3381323
19	-	ENSG00000130159.13	ECSIT	20.831114	0.89521918
19	+	ENSG00000130164.12	LDLR	26.500006	0.73896978
19	-	ENSG00000130165.10	ELOF1	35.02255	0.96183792
19	+	ENSG00000130167.13	TSPAN16	0	1
19	+	ENSG00000130173.13	ANGPTL8	0	0.26846188
19	+	ENSG00000130175.9	PRKCSH	124.48116	0.84576072
19	+	ENSG00000130176.7	CNN1	0.53450656	0.93157888
13	+	ENSG00000130177.14	CDC16	23.954978	0.34961772
16	-	ENSG00000130182.7	ZSCAN10	0	1
8	+	ENSG00000130193.7	THEM6	11.682708	1
19	-	ENSG00000130201.8	EXOC3L2	0	1
19	+	ENSG00000130202.9	NECTIN2	0.18219416	0.99774308
19	+	ENSG00000130203.9	APOE	0.68362918	0.95363886
19	+	ENSG00000130204.12	TOMM40	47.64021	0.81418
19	+	ENSG00000130208.9	APOC1	0.16922394	1
9	+	ENSG00000130222.10	GADD45G	0.48659236	0.49482976
X	-	ENSG00000130224.14	LRCH2	0	1
7	+	ENSG00000130226.16	DPP6	0.042657138	1
8	+	ENSG00000130227.16	XPO7	54.170022	0.64166322
X	-	ENSG00000130234.10	ACE2	0	1
19	+	ENSG00000130244.12	FAM98C	3.4094336	0.6387114
19	-	ENSG00000130254.11	SAFB2	8.7855456	0.14082676
19	+	ENSG00000130255.12	RPL36	416.87112	0.99571406
19	-	ENSG00000130270.16	ATP8B3	0	0
19	-	ENSG00000130283.8	GDF1	0	1
19	+	ENSG00000130287.13	NCAN	0	1
2	-	ENSG00000130294.14	KIF1A	0.0156188574	0.99348798
19	+	ENSG00000130299.16	GTPBP3	10.0638098	0.6286142
19	-	ENSG00000130300.8	PLVAP	0.39968914	0.98895692
19	-	ENSG00000130303.12	BST2	160.32196	0.9282434
19	+	ENSG00000130304.16	SLC27A1	1.6609422	0.22206752
7	-	ENSG00000130305.16	NSUN5	10.8344182	0.39184844
19	-	ENSG00000130307.11	USHBP1	0.16142176	0.3318108
19	+	ENSG00000130309.10	COLGALT1	22.186862	0.7258974
19	+	ENSG00000130311.10	DDA1	14.32029	0.93109568
19	+	ENSG00000130312.6	MRPL34	19.230508	0.88051954
19	+	ENSG00000130313.6	PGLS	27.730298	0.8924738
19	-	ENSG00000130332.14	LSM7	25.54809	0.94082596
6	+	ENSG00000130338.12	TULP4	19.35251	0.72168088
6	+	ENSG00000130340.15	SNX9	12.042584	0.5917744
6	-	ENSG00000130347.12	RTN4IP1	4.4800152	0.6993554
6	+	ENSG00000130348.11	QRSL1	19.999184	0.6371896
6	+	ENSG00000130349.9	C6orf203	6.925689	0.79092008
6	-	ENSG00000130363.11	RSPH3	2.9264308	0.84762146
6	+	ENSG00000130368.5	MAS1	0.55589256	1
19	+	ENSG00000130377.13	ACSBG2	0	1
19	-	ENSG00000130382.8	MLLT1	40.603422	0.57449224
19	-	ENSG00000130383.7	FUT5	0	1
X	+	ENSG00000130385.5	BMP15	0	1
6	+	ENSG00000130396.20	MLLT4	19.890726	0.675382
19	+	ENSG00000130402.11	ACTN4	126.48208	0.7070618
11	-	ENSG00000130413.15	STK33	1.3216292	0.9308852
2	-	ENSG00000130414.11	NDUFA10	80.502348	0.93503746
7	+	ENSG00000130427.2	EPO	0	1
7	+	ENSG00000130429.12	ARPC1B	201.28162	0.92568852
19	+	ENSG00000130433.7	CACNG6	0	1
5	+	ENSG00000130449.5	ZSWIM6	3.2163004	0.36816802
19	+	ENSG00000130475.14	FCHO1	11.71661	0.3135464
19	-	ENSG00000130477.15	UNC13A	0.428707	1
19	+	ENSG00000130479.10	MAP1S	0.17464986	0.0033495858
22	+	ENSG00000130487.5	KLHDC7B	1.6353866	1
22	-	ENSG00000130489.13	SCO2	13.03754	0.82698068
2	-	ENSG00000130508.10	PXDN	0.24855724	0.90676354
19	+	ENSG00000130511.15	SSBP4	13.6780266	0.55654266
19	+	ENSG00000130513.6	GDF15	1.11203656	1
19	+	ENSG00000130517.13	PGPEP1	38.912562	0.67448742
19	-	ENSG00000130518.16	KIAA1683	0.34278886	1
19	-	ENSG00000130520.10	LSM4	52.718958	0.90876072
19	-	ENSG00000130522.5	JUND	32.445806	1
19	-	ENSG00000130528.11	HRC	0.058899524	1
19	+	ENSG00000130529.15	TRPM4	0.75924358	1
22	+	ENSG00000130538.4	OR11H1	0	1
22	-	ENSG00000130540.13	SULT4A1	0	1
19	+	ENSG00000130544.11	ZNF557	7.725346	0.6100332
19	+	ENSG00000130545.15	CRB3	0.37500422	0.96944742
9	+	ENSG00000130558.19	OLFM1	0.043917918	1
9	-	ENSG00000130559.18	CAMSAP1	27.652344	0.55564762
9	-	ENSG00000130560.8	UBAC1	24.487508	0.87138856
2	+	ENSG00000130561.16	SAG	0	1
20	-	ENSG00000130584.10	ZBTB46	2.8392578	0.94498546
20	-	ENSG00000130589.16	HELZ2	10.75357	0.13949746
20	-	ENSG00000130590.13	SAMD10	0	0
11	+	ENSG00000130592.14	LSP1	233.71538	0.92617644
11	+	ENSG00000130595.16	TNNT3	0.33350214	0.45527442
11	+	ENSG00000130598.15	TNNI2	0.13230197	0.63761334
9	+	ENSG00000130635.15	COL5A1	1.382818	0.05017865
22	+	ENSG00000130638.15	ATXN10	84.442558	0.96797566
10	-	ENSG00000130640.13	TUBGCP2	19.942514	0.42451288
10	-	ENSG00000130643.8	CALY	0	1
