chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
11	-	ENSG00000068976.13	PYGM	0.1104484	0.83847248
X	-	ENSG00000068985.4	PAGE1	0	1
5	-	ENSG00000069011.15	PITX1	0.66142368	0.9675478
5	-	ENSG00000069018.17	TRPC7	0	1
5	+	ENSG00000069020.18	MAST4	7.964516	0.78293748
6	-	ENSG00000069122.18	ADGRF5	0.10514096	1
17	-	ENSG00000069188.16	SDK2	0.073079024	1
8	+	ENSG00000069206.15	ADAM7	0	1
1	-	ENSG00000069248.11	NUP133	33.459236	0.76828172
1	-	ENSG00000069275.12	NUCKS1	181.8504	0.77828448
16	-	ENSG00000069329.15	VPS35	16.448668	0.83280456
16	-	ENSG00000069345.11	DNAJA2	27.728244	0.93999296
19	+	ENSG00000069399.13	BCL3	10.632144	0.5317286
1	+	ENSG00000069424.14	KCNAB2	3.5760868	0.70609496
12	-	ENSG00000069431.11	ABCC9	19.088244	0.57415216
11	+	ENSG00000069482.6	GAL	0	0.9269722
12	+	ENSG00000069493.14	CLEC2D	1.753076	0.94540004
X	-	ENSG00000069509.5	FUNDC1	7.1190424	0.98506168
X	-	ENSG00000069535.13	MAOB	0.26566296	0.91139852
15	-	ENSG00000069667.15	RORA	8.7458956	0.84817128
11	+	ENSG00000069696.6	DRD4	0	1
1	-	ENSG00000069702.10	TGFBR3	28.30268	0.80510268
1	+	ENSG00000069712.11	KIAA1107	0	0.78007072
16	-	ENSG00000069764.9	PLA2G10	0	1
1	-	ENSG00000069812.11	HES2	0.11383844	1
3	+	ENSG00000069849.10	ATP1B3	67.609656	0.96940832
15	-	ENSG00000069869.15	NEDD4	18.99116	0.32613672
15	+	ENSG00000069943.9	PIGB	6.5150572	0.66646192
15	+	ENSG00000069956.11	MAPK6	33.401812	0.53509832
15	-	ENSG00000069966.18	GNB5	19.124292	0.95830136
15	-	ENSG00000069974.15	RAB27A	14.084276	0.91406052
22	-	ENSG00000069998.12	CECR5	9.7281904	0.42136076
22	-	ENSG00000070010.18	UFD1L	21.794808	0.70463504
12	-	ENSG00000070018.8	LRP6	11.721196	0.77625164
12	-	ENSG00000070019.4	GUCY2C	0	1
11	-	ENSG00000070031.3	SCT	0	1
11	+	ENSG00000070047.11	PHRF1	25.060956	0.43788784
9	-	ENSG00000070061.14	IKBKAP	20.021384	0.399658
11	+	ENSG00000070081.15	NUCB2	12.333164	0.83092052
3	-	ENSG00000070087.13	PFN2	67.539216	1
9	-	ENSG00000070159.13	PTPN3	0.80539452	0.8935138
14	-	ENSG00000070182.18	SPTB	0	1
4	+	ENSG00000070190.12	DAPP1	0	1
5	-	ENSG00000070193.4	FGF10	0	1
9	+	ENSG00000070214.15	SLC44A1	74.659928	0.88161136
14	+	ENSG00000070269.13	TMEM260	5.7716616	0.57803552
17	-	ENSG00000070366.13	SMG6	4.8509168	0.13820892
14	-	ENSG00000070367.15	EXOC5	27.994248	0.79417528
22	-	ENSG00000070371.15	CLTCL1	3.9452748	0.16661604
19	+	ENSG00000070388.11	FGF22	0	1
19	+	ENSG00000070404.9	FSTL3	29.275664	0.91860152
22	-	ENSG00000070413.19	DGCR2	47.464916	0.83230152
19	-	ENSG00000070423.17	RNF126	10.322356	0.57511848
17	-	ENSG00000070444.14	MNT	20.690284	0.81067968
3	-	ENSG00000070476.14	ZXDC	6.3988528	0.73516968
17	-	ENSG00000070495.14	JMJD6	15.290772	0.7023778
8	+	ENSG00000070501.11	POLB	4.7751284	0.81520448
17	-	ENSG00000070526.14	ST6GALNAC1	0	1
17	-	ENSG00000070540.12	WIPI1	24.2403	0.86076284
9	+	ENSG00000070601.9	FRMPD1	0.032759768	1
9	-	ENSG00000070610.14	GBA2	7.9919788	0.24832924
5	+	ENSG00000070614.14	NDST1	79.187032	0.42413608
7	-	ENSG00000070669.16	ASNS	16.138212	0.73802536
8	+	ENSG00000070718.11	AP3M2	11.161892	0.67684768
16	-	ENSG00000070729.13	CNGB1	0.17209696	1
17	-	ENSG00000070731.10	ST6GALNAC2	0.11779716	1
10	+	ENSG00000070748.17	CHAT	0	1
8	-	ENSG00000070756.14	PABPC1	435.01872	0.83432832
1	-	ENSG00000070759.16	TESK2	1.23989936e-06	0.90131128
16	-	ENSG00000070761.7	CFAP20	14.086984	0.8827208
16	-	ENSG00000070770.8	CSNK2A2	45.493856	0.90335276
14	-	ENSG00000070778.12	PTPN21	16.447244	0.54771164
1	-	ENSG00000070785.16	EIF2B3	13.995328	0.94844908
5	-	ENSG00000070808.15	CAMK2A	0.072471044	1
5	+	ENSG00000070814.17	TCOF1	18.589944	0.48642244
1	+	ENSG00000070831.15	CDC42	150.50968	0.75898432
7	-	ENSG00000070882.12	OSBPL3	11.540828	0.6616238
1	+	ENSG00000070886.11	EPHA8	0	1
16	+	ENSG00000070915.9	SLC12A3	0	1
3	-	ENSG00000070950.9	RAD18	6.2721236	0.95726732
12	-	ENSG00000070961.15	ATP2B1	105.28464	0.83415508
11	-	ENSG00000070985.13	TRPM5	0	1
2	+	ENSG00000071051.13	NCK2	24.390304	0.97640788
2	+	ENSG00000071054.16	MAP4K4	283.38756	0.88007996
2	-	ENSG00000071073.12	MGAT4A	0.12752568	1
2	+	ENSG00000071082.10	RPL31	194.09308	0.97769004
4	-	ENSG00000071127.16	WDR1	274.25036	0.91568632
7	-	ENSG00000071189.21	SNX13	16.107208	0.68000912
11	+	ENSG00000071203.9	MS4A12	0	1
4	+	ENSG00000071205.11	ARHGAP10	19.5745	0.66859364
6	-	ENSG00000071242.11	RPS6KA2	75.807316	0.76638916
7	+	ENSG00000071243.15	ING3	4.1549196	0.75300468
14	+	ENSG00000071246.10	VASH1	3.2933428	0.82657168
3	+	ENSG00000071282.11	LMCD1	25.506	0.88241004
7	+	ENSG00000071462.11	WBSCR22	19.62582	0.80365532
14	-	ENSG00000071537.13	SEL1L	118.32432	0.8957648
5	+	ENSG00000071539.13	TRIP13	2.1708192	0.85631452
X	+	ENSG00000071553.16	ATP6AP1	60.102592	0.79692076
19	-	ENSG00000071564.14	TCF3	42.605248	0.67676136
2	+	ENSG00000071575.11	TRIB2	14.67588	0.96167328
19	+	ENSG00000071626.16	DAZAP1	18.429692	0.44280116
19	-	ENSG00000071655.17	MBD3	51.493972	0.92919408
2	+	ENSG00000071677.1	PRLH	0	1
3	-	ENSG00000071794.15	HLTF	20.4046	0.67247116
X	+	ENSG00000071859.14	FAM50A	39.549432	0.73821728
X	-	ENSG00000071889.16	FAM3A	12.260116	0.90445272
8	-	ENSG00000071894.15	CPSF1	9.4328796	0.13079556
2	+	ENSG00000071909.18	MYO3B	0	0.99694044
2	+	ENSG00000071967.11	CYBRD1	108.95168	0.95667164
18	-	ENSG00000071991.8	CDH19	0.03389696	1
6	-	ENSG00000071994.10	PDCD2	22.060108	0.78713528
12	-	ENSG00000072041.16	SLC6A15	8.0600884	0.79768508
14	-	ENSG00000072042.12	RDH11	35.017056	0.96730128
19	-	ENSG00000072062.13	PRKACA	54.720044	0.91894896
19	-	ENSG00000072071.16	ADGRL1	2.01882	0.1842918
2	+	ENSG00000072080.10	SPP2	0	1
14	-	ENSG00000072110.13	ACTN1	285.13516	0.89597424
14	-	ENSG00000072121.15	ZFYVE26	13.569416	0.46367388
X	-	ENSG00000072133.10	RPS6KA6	1.8405148	0.92326652
17	+	ENSG00000072134.15	EPN2	30.079916	0.8465788
2	+	ENSG00000072135.12	PTPN18	10.581324	0.39968992
2	-	ENSG00000072163.19	LIMS2	1.0065136	0.977134
2	+	ENSG00000072182.12	ASIC4	0	1
2	+	ENSG00000072195.14	SPEG	1.2114048	0.62415456
4	-	ENSG00000072201.13	LNX1	2.6370924	0.331604
17	+	ENSG00000072210.18	ALDH3A2	10.881292	0.91021208
3	-	ENSG00000072274.12	TFRC	122.14136	0.94923848
17	-	ENSG00000072310.16	SREBF1	15.761644	0.68735976
X	-	ENSG00000072315.3	TRPC5	0	1
5	-	ENSG00000072364.12	AFF4	85.18578	0.67713268
10	+	ENSG00000072401.14	UBE2D1	16.195856	0.90498892
14	+	ENSG00000072415.8	MPP5	20.460664	0.70103624
10	-	ENSG00000072422.16	RHOBTB1	8.812008	0.56138428
X	-	ENSG00000072501.17	SMC1A	24.79264	0.48464308
X	-	ENSG00000072506.12	HSD17B10	17.815976	0.84971376
11	+	ENSG00000072518.20	MARK2	9.2304076	0.50376008
5	+	ENSG00000072571.19	HMMR	1.2962912	0.66164068
12	-	ENSG00000072609.17	CHFR	0.69061428	0.027942552
12	+	ENSG00000072657.8	TRHDE	0.1268166	0.96786388
5	-	ENSG00000072682.18	P4HA2	57.532824	0.91122796
1	+	ENSG00000072694.20	FCGR2B	0	1
16	+	ENSG00000072736.18	NFATC3	16.726592	0.61523604
3	+	ENSG00000072756.16	TRNT1	6.617544	0.52441976
17	+	ENSG00000072778.19	ACADVL	20.849908	0.9467714
5	-	ENSG00000072786.12	STK10	21.167548	0.68622236
5	-	ENSG00000072803.17	FBXW11	43.424424	0.77183664
17	+	ENSG00000072818.11	ACAP1	0.57133648	0.536364
4	-	ENSG00000072832.14	CRMP1	0	0
4	+	ENSG00000072840.12	EVC	0.71429	0.022390116
17	-	ENSG00000072849.10	DERL2	17.33404	0.8351158
3	+	ENSG00000072858.10	SIDT1	0	1
16	+	ENSG00000072864.13	NDE1	13.420976	0.94645068
11	-	ENSG00000072952.18	MRVI1	1.1136568	0.64420012
19	+	ENSG00000072954.6	TMEM38A	0.32313664	0.94804772
19	+	ENSG00000072958.8	AP1M1	52.162012	0.8327046
19	+	ENSG00000073008.14	PVR	15.81672	0.72981908
19	-	ENSG00000073050.11	XRCC1	4.9801884	0.3874532
12	-	ENSG00000073060.15	SCARB1	7.397726	0.71112844
7	+	ENSG00000073067.13	CYP2W1	0	1
3	+	ENSG00000073111.13	MCM2	8.554536	0.7564252
22	+	ENSG00000073146.15	MOV10L1	0.039038332	1
22	+	ENSG00000073150.13	PANX2	0	0
22	+	ENSG00000073169.13	SELO	0.91987256	0.085060096
3	+	ENSG00000073282.12	TP63	0.11359552	1
4	+	ENSG00000073331.17	ALPK1	2.4885236	0.1561442
17	+	ENSG00000073350.13	LLGL2	0	1
15	+	ENSG00000073417.14	PDE8A	14.63686	0.7654382
X	+	ENSG00000073464.11	CLCN4	0.87486264	0.89444728
17	-	ENSG00000073536.17	NLE1	14.650908	0.6097826
5	+	ENSG00000073578.16	SDHA	73.36036	0.93012524
17	-	ENSG00000073584.18	SMARCE1	27.828064	0.92518652
17	+	ENSG00000073598.5	FNDC8	0	1
17	-	ENSG00000073605.18	GSDMB	0.86778472	0.57409364
12	-	ENSG00000073614.12	KDM5A	20.255972	0.28308992
17	+	ENSG00000073670.13	ADAM11	0	1
3	+	ENSG00000073711.10	PPP2R3A	11.6754	0.78161768
14	-	ENSG00000073712.14	FERMT2	114.07268	0.85692624
2	-	ENSG00000073734.8	ABCB11	0	1
2	+	ENSG00000073737.16	DHRS9	0	1
1	-	ENSG00000073754.5	CD5L	0	1
1	-	ENSG00000073756.11	PTGS2	0.83694112	0.3581598
3	-	ENSG00000073792.15	IGF2BP2	102.76632	0.83569168
3	+	ENSG00000073803.13	MAP3K13	16.380184	0.89591296
3	+	ENSG00000073849.14	ST6GAL1	0.85446476	0.98802136
17	+	ENSG00000073861.2	TBX21	0	1
13	+	ENSG00000073910.19	FRY	1.0815876	0.029543628
11	-	ENSG00000073921.17	PICALM	139.81632	0.95604928
17	+	ENSG00000073969.18	NSF	31.231424	0.56604428
2	+	ENSG00000074047.21	GLI2	0.00140426	7.12568000000001e-05
2	-	ENSG00000074054.17	CLASP1	42.340852	0.63063076
16	-	ENSG00000074071.14	MRPS34	17.914572	0.79600564
19	-	ENSG00000074181.8	NOTCH3	5.4813056	0.33363364
11	-	ENSG00000074201.8	CLNS1A	44.993584	0.95655752
4	-	ENSG00000074211.13	PPP2R2C	0.19904396	0.90891072
19	-	ENSG00000074219.13	TEAD2	12.450696	0.6399732
11	+	ENSG00000074266.18	EED	10.093008	0.92388484
5	+	ENSG00000074276.10	CDHR2	0	1
5	-	ENSG00000074317.10	SNCB	0	1
11	-	ENSG00000074319.12	TSG101	29.12288	0.98423852
17	-	ENSG00000074356.16	NCBP3	21.057656	0.63780748
17	-	ENSG00000074370.17	ATP2A3	0.55065384	0.87957488
15	-	ENSG00000074410.13	CA12	41.377424	0.63737128
3	-	ENSG00000074416.13	MGLL	59.991984	0.96545808
12	-	ENSG00000074527.11	NTN4	1.683362	0.93827396
2	+	ENSG00000074582.12	BCS1L	7.5121428	0.51593748
12	-	ENSG00000074590.13	NUAK1	7.233914	0.851453
15	-	ENSG00000074603.18	DPP8	33.88796	0.86170488
15	+	ENSG00000074621.13	SLC24A1	7.4569668	0.75507316
18	+	ENSG00000074657.13	ZNF532	32.014104	0.65606044
17	-	ENSG00000074660.15	SCARF1	0	1
18	-	ENSG00000074695.5	LMAN1	152.97112	0.86579616
15	+	ENSG00000074696.12	HACD3	65.801364	0.93720688
6	-	ENSG00000074706.13	IPCEF1	0	1
17	-	ENSG00000074755.14	ZZEF1	0	0
6	-	ENSG00000074771.3	NOX3	0	1
15	+	ENSG00000074803.17	SLC12A1	0	1
19	-	ENSG00000074842.7	MYDGF	74.847888	0.99317508
19	-	ENSG00000074855.10	ANO8	2.127632	0.251472
6	-	ENSG00000074935.13	TUBE1	4.144488	0.5386928
1	+	ENSG00000074964.16	ARHGEF10L	5.9264292	0.53076392
4	-	ENSG00000074966.10	TXK	0	1
12	+	ENSG00000075035.9	WSCD2	0	1
20	-	ENSG00000075043.18	KCNQ2	0	1
10	-	ENSG00000075073.14	TACR2	0.20298628	0.90470468
12	+	ENSG00000075089.9	ACTR6	2.2481776	0.55199588
15	-	ENSG00000075131.9	TIPIN	3.35112	0.9352926
7	-	ENSG00000075142.13	SRI	48.973632	0.8969908
1	-	ENSG00000075151.20	EIF4G3	72.643176	0.62910468
12	-	ENSG00000075188.8	NUP37	13.372448	0.87161292
7	-	ENSG00000075213.10	SEMA3A	1.8851768	0.88693328
22	+	ENSG00000075218.18	GTSE1	0.25390788	0.35871204
7	-	ENSG00000075223.13	SEMA3C	41.3453	0.831596
22	+	ENSG00000075234.16	TTC38	11.047408	0.4217938
11	+	ENSG00000075239.13	ACAT1	21.131536	0.90304824
22	+	ENSG00000075240.16	GRAMD4	5.9889528	0.48633208
22	-	ENSG00000075275.16	CELSR1	0.10288212	1
10	+	ENSG00000075290.7	WNT8B	0	0
2	+	ENSG00000075292.18	ZNF638	20.699376	0.67609696
7	-	ENSG00000075303.12	SLC25A40	7.8408048	0.60555216
18	+	ENSG00000075336.11	TIMM21	7.3137312	0.7518984
2	-	ENSG00000075340.22	ADD2	0.035804456	1
11	-	ENSG00000075388.3	FGF4	0	1
1	+	ENSG00000075391.16	RASAL2	41.536384	0.82147088
16	-	ENSG00000075399.13	VPS9D1	0.13413564	0.012780532
10	+	ENSG00000075407.18	ZNF37A	26.637852	0.61355764
14	+	ENSG00000075413.17	MARK3	37.7821	0.78068412
12	+	ENSG00000075415.12	SLC25A3	327.87164	0.93713608
3	+	ENSG00000075420.12	FNDC3B	126.77124	0.88727668
2	+	ENSG00000075426.11	FOSL2	152.25752	0.85475452
17	+	ENSG00000075429.8	CACNG5	0	1
17	+	ENSG00000075461.5	CACNG4	0	1
4	-	ENSG00000075539.13	FRYL	7.8540976	0.60706816
2	-	ENSG00000075568.16	TMEM131	27.649696	0.40531904
7	+	ENSG00000075618.17	FSCN1	75.322524	0.8207666
18	+	ENSG00000075643.5	MOCOS	8.7352556	0.47643672
3	-	ENSG00000075651.15	PLD1	3.0911788	0.86365024
13	+	ENSG00000075673.11	ATP12A	0	1
19	+	ENSG00000075702.16	WDR62	0.13738768	0.22417304
3	-	ENSG00000075711.20	DLG1	34.079236	0.94309228
3	+	ENSG00000075785.12	RAB7A	239.8556	0.97706596
7	+	ENSG00000075790.10	BCAP29	36.2276	0.96825376
10	-	ENSG00000075826.16	SEC31B	0	0
12	-	ENSG00000075856.11	SART3	23.28546	0.79134244
2	+	ENSG00000075884.12	ARHGAP15	0.13576876	1
2	+	ENSG00000075886.10	TUBA3D	0.08646442	1
10	+	ENSG00000075891.21	PAX2	0	1
3	+	ENSG00000075914.12	EXOSC7	12.731404	0.90283368
1	-	ENSG00000075945.12	KIFAP3	21.680604	0.81770612
3	+	ENSG00000075975.15	MKRN2	39.957872	0.90265944
2	-	ENSG00000076003.4	MCM6	20.740032	0.8074294
11	+	ENSG00000076043.9	REXO2	69.928268	0.87750324
11	+	ENSG00000076053.10	RBM7	26.656988	0.94524008
12	+	ENSG00000076067.11	RBMS2	29.216728	0.4625142
12	-	ENSG00000076108.11	BAZ2A	18.553044	0.21285136
3	+	ENSG00000076201.14	PTPN23	5.9789796	0.12688744
3	+	ENSG00000076242.14	MLH1	7.1704544	0.2456206
12	+	ENSG00000076248.10	UNG	20.485448	0.94354348
1	+	ENSG00000076258.9	FMO4	0.52557828	0.35804004
1	+	ENSG00000076321.10	KLHL20	12.58208	0.4268152
16	-	ENSG00000076344.15	RGS11	4.74136e-09	0.17280104
17	-	ENSG00000076351.12	SLC46A1	6.5069336	1
1	-	ENSG00000076356.6	PLXNA2	6.2333912	0.42492804
17	-	ENSG00000076382.16	SPAG5	2.565408	0.36930356
12	+	ENSG00000076513.16	ANKRD13A	16.339764	0.59979848
8	-	ENSG00000076554.15	TPD52	0.057231804	1
12	+	ENSG00000076555.15	ACACB	1.9078904	0.42421284
17	+	ENSG00000076604.14	TRAF4	12.319044	0.64019568
8	-	ENSG00000076641.4	PAG1	6.2887092	0.842342
19	+	ENSG00000076650.6	GPATCH1	4.6601148	0.78813644
19	-	ENSG00000076662.9	ICAM3	1.5932048	0.81959084
10	-	ENSG00000076685.18	NT5C2	25.108556	0.37955136
11	-	ENSG00000076706.15	MCAM	2.3631788	0.48706928
X	-	ENSG00000076716.8	GPC4	1.118694	0.75523948
X	-	ENSG00000076770.14	MBNL3	2.218016	0.9687924
19	+	ENSG00000076826.9	CAMSAP3	0	1
1	-	ENSG00000076864.19	RAP1GAP	1.0898744e-07	1
19	-	ENSG00000076924.11	XAB2	21.727032	0.62947152
19	+	ENSG00000076928.17	ARHGEF1	14.047592	0.36605844
19	+	ENSG00000076944.15	STXBP2	0.88255312	0.66559412
19	+	ENSG00000076984.17	MAP2K7	18.643096	0.60096496
19	+	ENSG00000077009.13	NMRK2	0	1
2	+	ENSG00000077044.10	DGKD	1.7232944	0.43712404
7	-	ENSG00000077063.10	CTTNBP2	0	1
7	-	ENSG00000077080.9	ACTL6B	0	1
3	+	ENSG00000077092.18	RARB	0.26172224	0.891495
3	-	ENSG00000077097.14	TOP2B	15.0714	0.47313484
10	-	ENSG00000077147.14	TM9SF3	193.93284	0.88091092
10	+	ENSG00000077150.18	NFKB2	10.43672	0.31532108
1	-	ENSG00000077152.9	UBE2T	1.5014776	0.67325404
1	+	ENSG00000077157.21	PPP1R12B	8.315888	0.49572516
2	+	ENSG00000077232.16	DNAJC10	49.620492	0.83745576
16	-	ENSG00000077235.17	GTF3C1	28.205976	0.667915
16	+	ENSG00000077238.13	IL4R	24.163384	0.84615916
1	-	ENSG00000077254.14	USP33	45.123144	0.488386
X	+	ENSG00000077264.14	PAK3	0.21949544	1
X	-	ENSG00000077274.8	CAPN6	0	1
X	-	ENSG00000077279.17	DCX	0	1
19	+	ENSG00000077312.8	SNRPA	19.090264	0.96412652
10	+	ENSG00000077327.15	SPAG6	0	1
19	-	ENSG00000077348.8	EXOSC5	5.0455692	0.86845888
2	+	ENSG00000077380.15	DYNC1I2	82.934784	0.94140532
10	+	ENSG00000077420.15	APBB1IP	4.7219756	0.83062332
7	-	ENSG00000077454.15	LRCH4	9.5695168	0.68773836
11	-	ENSG00000077458.12	FAM76B	1.442806	0.25890516
19	-	ENSG00000077463.14	SIRT6	7.3329712	0.93004768
11	+	ENSG00000077498.8	TYR	0	1
11	+	ENSG00000077514.8	POLD3	14.451604	0.9391262
1	+	ENSG00000077522.12	ACTN2	0.052047952	0.9945746
1	-	ENSG00000077549.17	CAPZB	154.0852	0.94152032
1	+	ENSG00000077585.13	GPR137B	6.2208464	0.74758344
11	+	ENSG00000077616.10	NAALAD2	0.72234804	0.70401672
4	+	ENSG00000077684.15	JADE1	31.158152	0.84470212
X	+	ENSG00000077713.18	SLC25A43	12.905132	0.83916352
X	+	ENSG00000077721.15	UBE2A	50.660296	0.9721842
8	-	ENSG00000077782.19	FGFR1	117.37096	0.68117488
7	+	ENSG00000077800.11	FKBP6	0	1
22	-	ENSG00000077935.16	SMC1B	0.033647332	1
10	-	ENSG00000077943.7	ITGA8	0.22160768	1
20	+	ENSG00000077984.5	CST7	0	1
2	+	ENSG00000078018.19	MAP2	2.6134156	0.68845476
18	-	ENSG00000078043.15	PIAS2	12.58346	0.70933952
7	-	ENSG00000078053.16	AMPH	1.6857988	0.9461628
X	+	ENSG00000078061.12	ARAF	26.909936	0.5562446
3	-	ENSG00000078070.12	MCCC1	6.5676208	0.70536872
3	-	ENSG00000078081.7	LAMP3	0.34072376	0.92989884
2	-	ENSG00000078098.13	FAP	37.43482	0.4946886
10	-	ENSG00000078114.18	NEBL	0.6713092	0.97846128
11	+	ENSG00000078124.11	ACER3	14.166504	0.92423376
4	+	ENSG00000078140.13	UBE2K	43.112504	0.93200584
18	+	ENSG00000078142.11	PIK3C3	22.590804	0.90241528
4	+	ENSG00000078177.13	N4BP2	3.5171336	0.75956072
12	+	ENSG00000078237.6	TIGAR	7.9303176	0.8585746
12	+	ENSG00000078246.16	TULP3	20.412552	0.71879432
6	+	ENSG00000078269.13	SYNJ2	13.514424	0.48378464
5	+	ENSG00000078295.16	ADCY2	0.036606324	1
14	+	ENSG00000078304.19	PPP2R5C	62.930512	0.85960112
16	+	ENSG00000078328.19	RBFOX1	0	1
1	-	ENSG00000078369.17	GNB1	270.49968	0.8308334
7	-	ENSG00000078399.16	HOXA9	4.4817396	0.5669628
6	+	ENSG00000078401.6	EDN1	0.5333532	0.6802094
10	+	ENSG00000078403.16	MLLT10	19.855388	0.48008592
7	-	ENSG00000078487.17	ZCWPW1	0.79533612	0.445113
7	+	ENSG00000078549.14	ADCYAP1R1	0.032631988	1
8	-	ENSG00000078579.8	FGF20	0	1
X	+	ENSG00000078589.12	P2RY10	0	1
X	-	ENSG00000078596.10	ITM2A	0.060267596	0.87512724
1	-	ENSG00000078618.20	NRDC	64.553712	0.69533632
8	+	ENSG00000078668.13	VDAC3	34.579304	0.82152972
8	+	ENSG00000078674.17	PCM1	43.531764	0.50540592
17	+	ENSG00000078687.17	TNRC6C	7.3470896	0.84538536
20	+	ENSG00000078699.21	CBFA2T2	14.16284	0.85769676
9	-	ENSG00000078725.12	BRINP1	0.17284636	0.99032396
20	+	ENSG00000078747.13	ITCH	36.325148	0.63134684
5	+	ENSG00000078795.16	PKD2L2	0.088031208	1
20	+	ENSG00000078804.12	TP53INP2	11.250112	0.81476852
1	-	ENSG00000078808.16	SDF4	137.65932	0.8229546
20	+	ENSG00000078814.15	MYH7B	0.41672112	1
20	+	ENSG00000078898.6	BPIFB2	0	1
1	+	ENSG00000078900.14	TP73	0	1
11	-	ENSG00000078902.15	TOLLIP	37.810412	0.93249436
7	+	ENSG00000078967.12	UBE2D4	1.9562976	0.39144024
18	+	ENSG00000079101.16	CLUL1	0	1
8	-	ENSG00000079102.16	RUNX1T1	10.674712	0.68024544
8	-	ENSG00000079112.9	CDH17	0.057523644	1
18	-	ENSG00000079134.11	THOC1	3.8178948	0.89652716
2	-	ENSG00000079150.17	FKBP7	12.67238	0.83082584
2	+	ENSG00000079156.16	OSBPL6	3.60816	0.72470988
5	+	ENSG00000079215.13	SLC1A3	4.5584228	0.83436608
2	+	ENSG00000079246.15	XRCC5	182.34724	0.97041452
3	-	ENSG00000079257.7	LXN	1.1402776	0.7676296
2	+	ENSG00000079263.18	SP140	0	0.83508412
1	-	ENSG00000079277.19	MKNK1	10.57862	0.92631232
2	-	ENSG00000079308.16	TNS1	90.584268	0.81610336
19	-	ENSG00000079313.12	REXO1	8.6627832	0.40527912
10	-	ENSG00000079332.14	SAR1A	127.42244	0.75388912
1	+	ENSG00000079335.18	CDC14A	1.7347688	0.9557674
12	-	ENSG00000079337.15	RAPGEF3	1.2440288	0.5915206
19	-	ENSG00000079385.21	CEACAM1	0.05751144	1
12	-	ENSG00000079387.13	SENP1	1.4506032	0.1090764
10	-	ENSG00000079393.20	DUSP13	0	1
19	+	ENSG00000079432.7	CIC	17.986076	0.25196996
19	-	ENSG00000079435.9	LIPE	1.4538264	0.66885568
8	+	ENSG00000079459.12	FDFT1	45.496004	0.98129324
19	-	ENSG00000079462.7	PAFAH1B3	1.7204836	0.90717076
X	-	ENSG00000079482.12	OPHN1	10.35292	0.82757188
4	+	ENSG00000079557.4	AFM	0	1
16	+	ENSG00000079616.12	KIF22	4.6868236	0.65915676
6	+	ENSG00000079689.13	SCGN	0	1
6	+	ENSG00000079691.17	LRRC16A	2.6636164	0.3964066
1	+	ENSG00000079739.15	PGM1	29.425612	0.94585328
2	+	ENSG00000079785.14	DDX1	66.173604	0.80851536
19	+	ENSG00000079805.16	DNM2	63.166932	0.8946758
6	-	ENSG00000079819.17	EPB41L2	54.988324	0.93398152
6	+	ENSG00000079841.18	RIMS1	0	0.93769784
6	-	ENSG00000079931.14	MOXD1	15.625416	0.87180776
6	-	ENSG00000079950.13	STX7	36.939876	0.82458304
22	-	ENSG00000079974.17	RABL2B	13.23386	0.48584764
19	-	ENSG00000079999.13	KEAP1	48.701276	0.99484316
6	+	ENSG00000080007.7	DDX43	0.02632022	0.8342588
19	-	ENSG00000080031.9	PTPRH	0.1059434	0.83026916
13	-	ENSG00000080166.15	DCT	0	1
20	-	ENSG00000080189.14	SLC35C2	19.456152	0.4722624
3	+	ENSG00000080200.9	CRYBG3	2.2398108	0.32123836
3	+	ENSG00000080224.17	EPHA6	0	1
2	-	ENSG00000080293.9	SCTR	0	1
9	-	ENSG00000080298.15	RFX3	3.2398196	0.97078132
2	+	ENSG00000080345.17	RIF1	0.647528000000001	0.00803060000000001
12	+	ENSG00000080371.5	RAB21	26.847496	0.96480548
4	+	ENSG00000080493.14	SLC4A4	0.44894196	0.95432432
9	+	ENSG00000080503.21	SMARCA2	36.167992	0.9021496
19	+	ENSG00000080511.3	RDH8	0	1
6	-	ENSG00000080546.13	SESN1	12.816196	0.8064424
X	+	ENSG00000080561.13	MID2	4.8836672	0.95845096
X	+	ENSG00000080572.12	PIH1D3	0	1
19	-	ENSG00000080573.6	COL5A3	3.6126104	0.040232644
16	+	ENSG00000080603.16	SRCAP	8.2943912	0.37415172
9	-	ENSG00000080608.9	PUM3	22.617968	0.82722196
13	-	ENSG00000080618.13	CPB2	0	1
15	-	ENSG00000080644.15	CHRNA3	0	1
5	+	ENSG00000080709.14	KCNN2	0	1
7	-	ENSG00000080802.18	CNOT4	16.0069	0.84978676
14	+	ENSG00000080815.18	PSEN1	45.41618	0.986715
3	-	ENSG00000080819.6	CPOX	18.895932	0.89098996
3	-	ENSG00000080822.16	CLDND1	33.582344	0.8015884
14	-	ENSG00000080823.21	MOK	3.5626088	0.90888848
14	-	ENSG00000080824.18	HSP90AA1	448.35748	0.8728406
20	-	ENSG00000080839.11	RBL1	7.3320852	0.60942444
20	+	ENSG00000080845.17	DLGAP4	74.33404	0.88473644
11	-	ENSG00000080854.14	IGSF9B	0	1
1	+	ENSG00000080910.11	CFHR2	0	1
18	+	ENSG00000080986.12	NDC80	2.1837128	0.81037888
15	+	ENSG00000081014.10	AP4E1	16.482828	0.52200136
1	-	ENSG00000081019.13	RSBN1	10.420532	0.63435568
1	+	ENSG00000081026.18	MAGI3	6.6115224	0.89014424
